source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,tmass_oid,ra_2,dec_2,j_m,h_m,ks_m
1680479660494681728,189.1738935329361,65.52157883362382,40.11598738595365,0.039999564006198286,109.65029340274755,12.19010801594487,12.834296,14.514505,11.588878,,460761143,189.172636,65.521576,9.81,9.247,8.97
2950868451932669440,99.64596345469927,-14.083243690613015,40.11778661454389,0.07056568832113078,-247.4012698998719,-96.6388911122642,12.914536,14.468174,11.711282,,245822924,99.647174,-14.082777,10.015,9.428,9.139
4276948538120524288,277.39447446447366,2.2650809981623694,40.12032989378433,0.280083632575212,21.484594774484084,-42.04320630158237,17.481447,20.913004,15.879015,,300153550,277.394381,2.265273,13.049,12.4,11.934
2233222229000888064,349.84259195168016,76.76244860830683,40.125388086775466,1.2078420788243451,194.49384675791936,59.83853426226542,20.715576,21.325743,18.943209,,468854812,349.839046,76.762161,15.354,14.388,13.648
779689606794219136,161.80085220925926,40.44533947117498,40.12810538063654,0.13141798598852716,-298.15071707517933,-32.700929468390115,15.183004,17.819107,13.729868,,406692457,161.802714,40.445477,11.384,10.777,10.399
2565529071371410048,24.394149716628682,6.947156379754743,40.12853330253061,0.04547780541050187,243.70673106058626,-8.801394994758049,11.912595,13.220665,10.803231,24.552107555059823,314262735,24.393093,6.947158,9.34,8.775,8.496
2374484527999034112,9.354230827538782,-13.718894737356303,40.133919435403946,0.09136345780784029,52.65692173654102,-153.04458081405528,12.89664,14.250066,11.737419,,247142209,9.353991,-13.718255,10.07,9.456,9.22
3632779859757659008,207.1709331115895,-5.287657039672686,40.138167643740275,0.07964343169434267,246.42839360619928,-465.7077055519986,13.404575,15.146403,12.134507,,276214893,207.169813,-5.28561,10.329,9.701,9.403
5094232294281977216,60.06542932649597,-20.02300517314603,40.13845796843242,0.04995363311275844,106.80501535089321,88.52026395071194,12.718045,14.223894,11.526522,,222928588,60.064908,-20.023403,9.877,9.297,9.012
3618109522784875008,205.33885489990138,-9.12122978722211,40.150438180132724,0.040679756801151074,95.22541100475014,39.85899852393873,12.175443,13.562722,11.03281,,263275856,205.338431,-9.121425,9.444,8.906,8.668
4796804060982392064,81.67057240671488,-48.8642842463188,40.15327370119753,0.02546015518345606,93.70755454835411,-256.44443555283476,11.772227,13.131788,10.639074,,98762555,81.669987,-48.86314,9.099,8.464,8.242
3903379292080122368,189.6988154345985,9.96727733292687,40.157913961131335,0.06360851612843028,-168.22077099727264,-134.55536157062176,13.289909,14.968334,12.038945,,323254000,189.699545,9.96783,10.282,9.668,9.394
3966634844566024960,169.58499084250107,13.793970781685514,40.15979311481722,0.05867845148332262,85.24469239112004,-48.155411838772245,11.8966255,13.319313,10.730046,,334599246,169.584602,13.794225,9.087,8.516,8.258
3490715741903588992,177.22665536132368,-25.744319745925427,40.167363832904435,0.22375493366703186,114.64882582825827,63.2227845374948,17.997942,20.554443,16.384537,,198905944,177.226125,-25.74456,13.399,12.693,12.169
4700568859085688576,37.05975570852123,-62.80073361348849,40.16890561673753,0.03729068701558755,188.3367088786656,119.99657288206303,13.410708,15.066912,12.166705,,32579583,37.05798,-62.801262,10.428,9.864,9.57
6659271205321359872,294.14060647626485,-48.28108997115335,40.175779441962845,0.09330276120898122,290.79776570330307,97.21859231322537,14.249553,16.120045,12.955223,,101279189,294.138693,-48.281528,11.054,10.468,10.177
585391024399034880,135.45781889368416,9.085240040589659,40.17867318253255,0.07498898435367246,-2.0713035890751357,-277.6838662582159,13.531642,15.286482,12.260652,,320630407,135.457862,9.086413,10.417,9.803,9.53
2342686956666281728,13.228155901631458,-27.09956277144472,40.17896664862142,0.22907190594721186,50.519832678147516,73.09230226281274,18.19411,21.373564,16.572577,,192987489,13.22787,-27.099918,13.611,12.984,12.54
6470468772315704448,313.56236845040934,-53.49962563497284,40.182431447893194,0.04000618007328018,-39.02891791502545,-189.8974280933496,11.193237,12.313395,10.180907,57.199062617118244,77884514,313.562622,-53.498821,8.86,8.216,8.049
303876117377381376,25.07142266338002,31.791780099372982,40.18352793507791,0.3172362652024818,467.05310245896266,-10.934940773159678,12.488157,14.173731,11.241034,,384739452,25.068724,31.791853,9.437,8.833,8.566
4434578579508991360,252.26770889701254,4.7494856475468765,40.184139942683636,0.17049740235939867,53.807238108984556,72.52364198373883,17.37611,20.626217,15.787684,,307675773,252.267471,4.749205,12.959,12.33,11.882
6620217750595836288,332.1859442996516,-25.08538978983826,40.18627855395854,0.0625399995854909,-116.64289071556195,-53.30525993118654,12.221918,13.616261,11.077095,,201728205,332.186533,-25.08515,9.546,8.996,8.729
3300578673582192384,64.78397250572294,9.74726570624508,40.18677563281806,0.05598517345194902,44.029865462255856,131.14197441392906,12.765036,14.226367,11.591608,,322598271,64.783716,9.746713,9.99,9.409,9.156
4977352700719796864,4.007927536392641,-48.26192401174469,40.187241978166426,0.48834246438179524,-43.119052466946606,-244.6905970957971,10.531168,11.806524,9.44217,,101368396,4.008304,-48.260899,7.969,7.357,7.112
3496359397652313856,189.65386702014024,-27.060512192660397,40.18740929818231,0.15132536913263017,-184.59837440605853,-175.74391411006292,11.351475,12.682657,10.243039,7.2686964903946105,193165058,189.654727,-27.059681,8.728,8.081,7.844
5553958176239495040,95.47782076185545,-47.4253714696757,40.188246012781214,0.05344673574021245,-24.111764842605048,-0.45209374899076404,14.821262,16.793312,13.500531,,105058415,95.477981,-47.425381,11.585,11.099,10.819
6912395304772726144,316.20019953243104,-4.307406843185624,40.19029557876132,0.09565933932169447,47.791397252581,-10.061104103303286,12.892596,14.569961,11.648419,,279415663,316.199962,-4.307351,9.875,9.288,9.052
1781723721971913856,331.60825794317185,21.662253000273513,40.19038125245981,0.06573158690427348,128.69306211632068,9.815203140141934,13.879183,15.643462,12.608897,,357368950,331.607675,21.662209,10.769,10.176,9.943
5177244498761708416,38.21897002631499,-8.553967595334113,40.20010835909706,0.07801694679197724,-62.52257682051379,230.4730697297351,13.957442,15.654851,12.706478,,265208030,38.219252,-8.554974,10.949,10.423,10.094
